problemId,claimedInputType,actualFunctionInput,match,severity
6a67333ed34f23be3c8b9578,unspecified,js:solve(string)->string;java:solve(String),NO,HIGH
6a67333ed34f23be3c8b991a,unspecified,js:solve(string)->string;java:solve(String),NO,HIGH
6a67333ed34f23be3c8b907d,string,js:solve(string)->string;java:solve(String),NO,HIGH
6a67333ed34f23be3c8b9d61,unspecified,js:solve(string)->string;java:solve(String),NO,HIGH
6a67333ed34f23be3c8b905f,string,js:solve(string)->string;java:solve(String),NO,HIGH
6a67333ed34f23be3c8b981b,unspecified,js:solve(string)->string;java:solve(String),NO,HIGH
6a67333ed34f23be3c8b944c,integer,js:solve(string)->string;java:solve(String),NO,HIGH
6a67333ed34f23be3c8b98a2,unspecified,js:solve(string)->string;java:solve(String),NO,HIGH
6a67333ed34f23be3c8b94e2,unspecified,js:solve(string)->string;java:solve(String),NO,HIGH
6a67333ed34f23be3c8b9a55,unspecified,js:solve(string)->string;java:solve(String),NO,HIGH
6a67333ed34f23be3c8b8f9c,array,js:solve(string)->string;java:solve(String),NO,HIGH
6a67333ed34f23be3c8b95ff,unspecified,js:solve(string)->string;java:solve(String),NO,HIGH
6a67333ed34f23be3c8b954b,unspecified,js:solve(string)->string;java:solve(String),NO,HIGH
6a67333ed34f23be3c8b9974,unspecified,js:solve(string)->string;java:solve(String),NO,HIGH
6a67333ed34f23be3c8b8f6f,array,js:solve(string)->string;java:solve(String),NO,HIGH
6a67333ed34f23be3c8b9c62,unspecified,js:solve(string)->string;java:solve(String),NO,HIGH
6a67333ed34f23be3c8b9479,integer,js:solve(string)->string;java:solve(String),NO,HIGH
6a67333ed34f23be3c8b9221,integer,js:solve(string)->string;java:solve(String),NO,HIGH
6a67333ed34f23be3c8b9d07,integer,js:solve(string)->string;java:solve(String),NO,HIGH
6a67333ed34f23be3c8b9b9f,unspecified,js:solve(string)->string;java:solve(String),NO,HIGH
